id,project_id,calculation_timestamp,metrics_period_start,metrics_period_end,year_week,lead_time,deployment_frequency,change_failure_rate,mttr,cycle_time,throughput,wip,bug_rate,velocity,code_coverage,data_source,project_phase,git_coverage_pct
DO_2020-W22,DO,2026-04-18 14:09:48,2020-05-25,2020-05-31,2020-W22,51648.07,,,,0.0,0,2,0.0,2,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W23,DO,2026-04-18 14:09:48,2020-06-01,2020-06-07,2020-W23,32383.24,,,,1825.63,0,3,0.0,5,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W24,DO,2026-04-18 14:09:48,2020-06-08,2020-06-14,2020-W24,3600.0,,,,3547.57,0,0,0.0,1,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W25,DO,2026-04-18 14:09:48,2020-06-15,2020-06-21,2020-W25,15501.02,,,,3492.14,0,1,0.0,4,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W26,DO,2026-04-18 14:09:48,2020-06-22,2020-06-28,2020-W26,15285.02,,,,3266.87,0,1,0.0,4,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W27,DO,2026-04-18 14:09:48,2020-06-29,2020-07-05,2020-W27,3264.0,,,,3126.16,0,0,0.0,2,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W28,DO,2026-04-18 14:09:48,2020-07-06,2020-07-12,2020-W28,18980.02,,,,2988.51,0,1,0.0,3,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W29,DO,2026-04-18 14:09:48,2020-07-13,2020-07-19,2020-W29,26718.04,,,,1441.42,0,1,0.0,2,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W30,DO,2026-04-18 14:09:48,2020-07-20,2020-07-26,2020-W30,38469.05,,,,2624.98,0,3,0.0,4,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W31,DO,2026-04-18 14:09:48,2020-07-27,2020-08-02,2020-W31,18348.02,,,,2313.4,0,1,0.0,3,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W32,DO,2026-04-18 14:09:48,2020-08-03,2020-08-09,2020-W32,2472.0,,,,2315.62,0,0,0.0,3,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W33,DO,2026-04-18 14:09:48,2020-08-10,2020-08-16,2020-W33,33872.05,,,,678.29,0,2,0.0,3,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W34,DO,2026-04-18 14:09:48,2020-08-17,2020-08-23,2020-W34,17972.02,,,,1331.96,0,1,0.0,3,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W35,DO,2026-04-18 14:09:48,2020-08-24,2020-08-30,2020-W35,20860.83,,,,1714.23,0,2,0.0,5,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W36,DO,2026-04-18 14:09:48,2020-08-31,2020-09-06,2020-W36,1752.0,,,,1658.75,0,0,0.0,1,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W37,DO,2026-04-18 14:09:48,2020-09-07,2020-09-13,2020-W37,20548.83,,,,1403.54,0,2,0.0,5,,jira_only,Phase 1 - Jira only,0.0
